detector,dataset,sample_index,duration,n_onsets,n_segments,n_truncated,mean_window_frames,root,thirds,triads,majmin,mirex,underseg,overseg,seg
superflux,normal_sustain,6,11.765333333333333,10,10,10,109.6,0.5461586650720427,0.5429409419670823,0.4159405433111224,0.39144864597676804,0.4159405433111224,0.6676917819921409,0.9922546842075289,0.6676917819921409
superflux,normal_sustain,7,12.490666666666666,10,10,10,116.2,0.7725376187784329,0.6529112492933862,0.6512422945435947,0.6773781902552205,0.6512422945435947,0.6915394761635578,0.9850870817518642,0.6915394761635578
superflux,normal_sustain,8,11.402666666666667,10,10,10,105.9,0.668514119820533,0.5335913902818098,0.5335913902818098,0.4830842369183679,0.5335913902818098,0.6009501187648456,0.980557754904548,0.6009501187648456
superflux,normal_sustain,9,11.946666666666667,10,10,10,111.1,0.9665853042673178,0.9665853042673178,0.9665853042673178,0.9667491660389542,0.9665853042673178,0.6618410347052718,0.9665853042673177,0.6618410347052718
superflux,broken_sustain,0,18.901333333333334,10,10,5,162.7,0.6361223189636868,0.5118744248601967,0.5118744248601967,0.43186674134461794,0.5118744248601967,0.6424400084943724,0.9973809018192114,0.6424400084943724
superflux,broken_sustain,1,20.704,10,10,4,172.1,0.6660210159314319,0.5625554856100593,0.5625554856100593,0.3928494134960827,0.5625554856100593,0.6684583474569433,0.9948832179232646,0.6684583474569433
superflux,broken_sustain,2,20.704,10,10,3,174.3,0.36820617092693003,0.36820617092693003,0.2634908339788278,0.1184286874782407,0.2634908339788278,0.4530886909372579,0.9971275497030725,0.4530886909372579
superflux,broken_sustain,3,20.405333333333335,10,10,4,172.8,0.8602595016649445,0.8596525761527486,0.8596525761527486,0.7641162712996994,0.8596525761527486,0.7229303019864508,0.9986221150533932,0.7229303019864508
superflux,broken_sustain,4,18.122666666666667,10,10,6,161.6,0.6727192205491586,0.6723501623855919,0.3371161795098907,0.31805487103663543,0.3371161795098907,0.5732395925597873,0.9896848243283138,0.5732395925597873
superflux,broken_sustain,5,24.842666666666666,10,10,2,181.7,0.6705948825571069,0.6705948825571069,0.6705948825571069,0.8517423682564946,0.6705948825571069,0.7265719589958834,0.9933274141039093,0.7265719589958834
superflux,broken_sustain,6,20.042666666666666,10,10,6,166.7,0.23249369856611068,0.23249369856611068,0.23249369856611068,0.17955905449195844,0.23249369856611068,0.398434239738261,0.9977965847062945,0.398434239738261
superflux,broken_sustain,7,21.546666666666667,10,10,4,170.4,0.4940465087359323,0.4188117888453647,0.41745942921096807,0.32808992799296105,0.41745942921096807,0.5966237642230925,0.9994870360007462,0.5966237642230925
superflux,broken_sustain,8,20.88533333333333,10,10,4,170.0,0.7687437894669359,0.7687437894669359,0.7687437894669359,0.7461515455393113,0.7687437894669359,0.6633971215180946,0.9980126294194954,0.6633971215180946
superflux,broken_sustain,9,19.562666666666665,10,10,7,164.2,0.8905579765871997,0.7962061009997435,0.7338631120225582,0.5246572539390219,0.7338631120225582,0.7860377680936512,0.9941211655131161,0.7860377680936512
superflux,broken_sustain,10,18.784,10,10,7,162.0,0.6595217732164493,0.6595217732164493,0.6595217732164493,0.5482568633038851,0.6595217732164493,0.6943731736868364,0.9953139476872638,0.6943731736868364
superflux,broken_sustain,11,20.82133333333333,11,11,5,153.63636363636363,0.699710843373494,0.699710843373494,0.6745542168674699,0.2608988008517315,0.6745542168674699,0.7512931726907631,0.9942168674698795,0.7512931726907631
superflux,broken_sustain,12,21.184,10,10,6,172.4,0.6734332511224943,0.6734332511224943,0.6734332511224943,0.7092680328024813,0.6734332511224943,0.6797097324985771,0.9999525706697022,0.6797097324985771
superflux,broken_sustain,13,20.405333333333335,10,10,4,167.9,0.8928056374959028,0.8917731891183216,0.8917731891183216,0.8917731891183216,0.8917731891183216,0.7558997050147492,0.9982956407735168,0.7558997050147492
superflux,broken_sustain,14,21.781333333333333,10,10,4,182.0,0.6825798341228594,0.6825798341228594,0.6825798341228594,0.5555266974006016,0.6825798341228594,0.7229453157337995,0.9971178463566818,0.7229453157337995
superflux,broken_sustain,15,19.744,10,10,5,166.1,0.6790932331081653,0.5632586723551222,0.5622767365872653,0.6057892544773011,0.5622767365872653,0.6606904024243657,0.9941930350280189,0.6606904024243657
superflux,broken_sustain,16,18.730666666666668,11,11,8,151.8181818181818,0.9630304329189886,0.9630304329189886,0.9624946420917274,0.93162299053072,0.9624946420917274,0.7304614944992143,0.9978568366909559,0.7304614944992143
superflux,broken_sustain,17,20.88533333333333,10,10,5,168.5,0.4929379208855191,0.413279587952077,0.413279587952077,0.4813779740279097,0.413279587952077,0.6060911432090472,0.9950893357006894,0.6060911432090472
