variant,seed,dataset,class,recall
orig,45,vivo,D_minor_4,0.8
orig,45,vivo,E_diminished_4,0.775
orig,45,vivo,E_major_4,1.0
orig,45,vivo,E_minor_4,1.0
orig,45,vivo,F#_diminished_4,1.0
orig,45,vivo,F#_major_4,1.0
orig,45,vivo,F#_minor_4,1.0
orig,45,vivo,F_diminished_4,1.0
orig,45,vivo,F_major_4,1.0
orig,45,vivo,F_minor_4,1.0
orig,45,vivo,G#_diminished_4,1.0
orig,45,vivo,G#_major_4,1.0
orig,45,vivo,G#_minor_4,1.0
orig,45,vivo,G_diminished_4,0.95
orig,45,vivo,G_major_4,1.0
orig,45,vivo,G_minor_4,1.0
orig,45,flow,A#_diminished_4,1.0
orig,45,flow,A#_major_4,1.0
orig,45,flow,A#_minor_4,1.0
orig,45,flow,A_diminished_4,1.0
orig,45,flow,A_major_4,1.0
orig,45,flow,A_minor_4,1.0
orig,45,flow,B_diminished_4,1.0
orig,45,flow,B_major_4,1.0
orig,45,flow,B_minor_4,1.0
orig,45,flow,C#_diminished_4,0.925
orig,45,flow,C#_major_4,1.0
orig,45,flow,C#_minor_4,1.0
orig,45,flow,C_diminished_4,1.0
orig,45,flow,C_major_4,1.0
orig,45,flow,C_minor_4,1.0
orig,45,flow,D#_diminished_4,1.0
orig,45,flow,D#_major_4,1.0
orig,45,flow,D#_minor_4,1.0
orig,45,flow,D_diminished_4,1.0
orig,45,flow,D_major_4,1.0
orig,45,flow,D_minor_4,1.0
orig,45,flow,E_diminished_4,1.0
orig,45,flow,E_major_4,1.0
orig,45,flow,E_minor_4,1.0
orig,45,flow,F#_diminished_4,1.0
orig,45,flow,F#_major_4,1.0
orig,45,flow,F#_minor_4,1.0
orig,45,flow,F_diminished_4,1.0
orig,45,flow,F_major_4,1.0
orig,45,flow,F_minor_4,1.0
orig,45,flow,G#_diminished_4,1.0
orig,45,flow,G#_major_4,1.0
orig,45,flow,G#_minor_4,1.0
orig,45,flow,G_diminished_4,1.0
orig,45,flow,G_major_4,1.0
orig,45,flow,G_minor_4,1.0
