variant,seed,dataset,overlay,class,recall
clean,42,thinkpad-2,dir,G#_diminished_4,1.0
clean,42,thinkpad-2,dir,G#_major_4,1.0
clean,42,thinkpad-2,dir,G#_minor_4,1.0
clean,42,thinkpad-2,dir,G_diminished_4,1.0
clean,42,thinkpad-2,dir,G_major_4,1.0
clean,42,thinkpad-2,dir,G_minor_4,1.0
clean,42,flow-2,noise,A#_diminished_4,1.0
clean,42,flow-2,noise,A#_major_4,1.0
clean,42,flow-2,noise,A#_minor_4,1.0
clean,42,flow-2,noise,A_diminished_4,0.95
clean,42,flow-2,noise,A_major_4,1.0
clean,42,flow-2,noise,A_minor_4,1.0
clean,42,flow-2,noise,B_diminished_4,1.0
clean,42,flow-2,noise,B_major_4,1.0
clean,42,flow-2,noise,B_minor_4,1.0
clean,42,flow-2,noise,C#_diminished_4,1.0
clean,42,flow-2,noise,C#_major_4,1.0
clean,42,flow-2,noise,C#_minor_4,1.0
clean,42,flow-2,noise,C_diminished_4,1.0
clean,42,flow-2,noise,C_major_4,1.0
clean,42,flow-2,noise,C_minor_4,1.0
clean,42,flow-2,noise,D#_diminished_4,1.0
clean,42,flow-2,noise,D#_major_4,1.0
clean,42,flow-2,noise,D#_minor_4,1.0
clean,42,flow-2,noise,D_diminished_4,1.0
clean,42,flow-2,noise,D_major_4,1.0
clean,42,flow-2,noise,D_minor_4,1.0
clean,42,flow-2,noise,E_diminished_4,1.0
clean,42,flow-2,noise,E_major_4,1.0
clean,42,flow-2,noise,E_minor_4,1.0
clean,42,flow-2,noise,F#_diminished_4,0.975
clean,42,flow-2,noise,F#_major_4,1.0
clean,42,flow-2,noise,F#_minor_4,1.0
clean,42,flow-2,noise,F_diminished_4,1.0
clean,42,flow-2,noise,F_major_4,1.0
clean,42,flow-2,noise,F_minor_4,1.0
clean,42,flow-2,noise,G#_diminished_4,1.0
clean,42,flow-2,noise,G#_major_4,1.0
clean,42,flow-2,noise,G#_minor_4,1.0
clean,42,flow-2,noise,G_diminished_4,1.0
clean,42,flow-2,noise,G_major_4,1.0
clean,42,flow-2,noise,G_minor_4,1.0
clean,42,flow-2,rir,A#_diminished_4,0.975
clean,42,flow-2,rir,A#_major_4,1.0
clean,42,flow-2,rir,A#_minor_4,1.0
clean,42,flow-2,rir,A_diminished_4,1.0
clean,42,flow-2,rir,A_major_4,1.0
clean,42,flow-2,rir,A_minor_4,1.0
clean,42,flow-2,rir,B_diminished_4,1.0
clean,42,flow-2,rir,B_major_4,1.0
clean,42,flow-2,rir,B_minor_4,1.0
clean,42,flow-2,rir,C#_diminished_4,1.0
clean,42,flow-2,rir,C#_major_4,1.0
clean,42,flow-2,rir,C#_minor_4,1.0
clean,42,flow-2,rir,C_diminished_4,1.0
clean,42,flow-2,rir,C_major_4,1.0
clean,42,flow-2,rir,C_minor_4,1.0
clean,42,flow-2,rir,D#_diminished_4,1.0
clean,42,flow-2,rir,D#_major_4,1.0
clean,42,flow-2,rir,D#_minor_4,1.0
clean,42,flow-2,rir,D_diminished_4,1.0
clean,42,flow-2,rir,D_major_4,1.0
clean,42,flow-2,rir,D_minor_4,1.0
clean,42,flow-2,rir,E_diminished_4,1.0
clean,42,flow-2,rir,E_major_4,1.0
clean,42,flow-2,rir,E_minor_4,1.0
clean,42,flow-2,rir,F#_diminished_4,1.0
clean,42,flow-2,rir,F#_major_4,1.0
clean,42,flow-2,rir,F#_minor_4,1.0
clean,42,flow-2,rir,F_diminished_4,1.0
clean,42,flow-2,rir,F_major_4,1.0
clean,42,flow-2,rir,F_minor_4,1.0
clean,42,flow-2,rir,G#_diminished_4,1.0
clean,42,flow-2,rir,G#_major_4,1.0
clean,42,flow-2,rir,G#_minor_4,1.0
clean,42,flow-2,rir,G_diminished_4,1.0
clean,42,flow-2,rir,G_major_4,1.0
clean,42,flow-2,rir,G_minor_4,1.0
clean,42,flow-2,dir,A#_diminished_4,1.0
clean,42,flow-2,dir,A#_major_4,1.0
clean,42,flow-2,dir,A#_minor_4,1.0
clean,42,flow-2,dir,A_diminished_4,1.0
clean,42,flow-2,dir,A_major_4,1.0
clean,42,flow-2,dir,A_minor_4,1.0
clean,42,flow-2,dir,B_diminished_4,1.0
clean,42,flow-2,dir,B_major_4,1.0
clean,42,flow-2,dir,B_minor_4,1.0
clean,42,flow-2,dir,C#_diminished_4,1.0
clean,42,flow-2,dir,C#_major_4,1.0
clean,42,flow-2,dir,C#_minor_4,1.0
clean,42,flow-2,dir,C_diminished_4,1.0
clean,42,flow-2,dir,C_major_4,1.0
clean,42,flow-2,dir,C_minor_4,1.0
clean,42,flow-2,dir,D#_diminished_4,1.0
clean,42,flow-2,dir,D#_major_4,1.0
clean,42,flow-2,dir,D#_minor_4,1.0
clean,42,flow-2,dir,D_diminished_4,1.0
clean,42,flow-2,dir,D_major_4,1.0
clean,42,flow-2,dir,D_minor_4,1.0
clean,42,flow-2,dir,E_diminished_4,1.0
clean,42,flow-2,dir,E_major_4,1.0
clean,42,flow-2,dir,E_minor_4,1.0
clean,42,flow-2,dir,F#_diminished_4,1.0
clean,42,flow-2,dir,F#_major_4,1.0
clean,42,flow-2,dir,F#_minor_4,1.0
clean,42,flow-2,dir,F_diminished_4,1.0
clean,42,flow-2,dir,F_major_4,1.0
clean,42,flow-2,dir,F_minor_4,1.0
clean,42,flow-2,dir,G#_diminished_4,1.0
clean,42,flow-2,dir,G#_major_4,1.0
clean,42,flow-2,dir,G#_minor_4,1.0
clean,42,flow-2,dir,G_diminished_4,1.0
clean,42,flow-2,dir,G_major_4,1.0
clean,42,flow-2,dir,G_minor_4,1.0
