detector,dataset,sample_index,duration,n_onsets,n_segments,n_truncated,mean_window_frames,root,thirds,triads,majmin,mirex,underseg,overseg,seg
superflux,normal_sustain,5,11.530666666666667,10,10,10,107.1,0.987123463263998,0.9837149682456447,0.9837149682456447,0.9885172798216275,0.9837149682456447,0.7250772009555437,0.9849967954320339,0.7250772009555437
superflux,normal_sustain,6,11.765333333333333,10,10,10,109.6,0.9909448146249786,0.9856483854433624,0.9856483854433624,0.9859831232567169,0.9856483854433624,0.7309072270630448,0.9905461586650721,0.7309072270630448
superflux,normal_sustain,7,12.490666666666666,10,10,10,116.2,0.9819645212522545,0.9819645212522545,0.9819645212522545,0.9841840680587781,0.9819645212522545,0.6915394761635578,0.9850870817518642,0.6915394761635578
superflux,normal_sustain,8,11.402666666666667,10,10,10,105.9,0.9777425881938943,0.9741943051523411,0.9741943051523411,0.9723226205594084,0.9741943051523411,0.6488959268056655,0.9773027183953548,0.6488959268056655
superflux,normal_sustain,9,11.946666666666667,10,10,10,111.1,0.9665853042673178,0.9665853042673178,0.9665853042673178,0.9667491660389542,0.9665853042673178,0.6618410347052718,0.9665853042673177,0.6618410347052718
superflux,broken_sustain,0,18.901333333333334,10,10,5,162.7,0.9927974800028313,0.9927974800028313,0.9927974800028313,0.9956022984213908,0.9927974800028313,0.7243576130813336,0.9973809018192114,0.7243576130813336
superflux,broken_sustain,1,20.704,10,10,4,172.1,0.9281390731683696,0.9272190208706602,0.9272190208706602,0.9912132623468818,0.9272190208706602,0.7430794311817024,0.994350556066696,0.7430794311817024
superflux,broken_sustain,2,20.704,10,10,3,174.3,0.9920926930028401,0.9910921766072811,0.9910921766072811,0.9905032687323508,0.9910921766072811,0.7167731732507099,0.9971275497030725,0.7167731732507099
superflux,broken_sustain,3,20.405333333333335,10,10,4,172.8,0.9956859078457426,0.9950789823335467,0.9950789823335467,0.9939859672569329,0.9950789823335467,0.7229303019864508,0.9986221150533932,0.7229303019864508
superflux,broken_sustain,4,18.122666666666667,10,10,6,161.6,0.9890943312666074,0.9887252731030409,0.9887252731030409,0.9881245746203852,0.9887252731030409,0.7303845586064363,0.9887252731030408,0.7303845586064363
superflux,broken_sustain,5,24.842666666666666,10,10,2,181.7,0.8716603438534182,0.8716603438534182,0.8716603438534182,0.9897864438254408,0.8716603438534182,0.7265719589958834,0.9933274141039093,0.7265719589958834
superflux,broken_sustain,6,20.042666666666666,10,10,6,166.7,0.9945916170063596,0.9945916170063596,0.9945916170063596,0.9966601061609115,0.9945916170063596,0.7037741833174751,0.997362578663595,0.7037741833174751
superflux,broken_sustain,7,21.546666666666667,10,10,4,170.4,0.9968289498227944,0.9968289498227944,0.9954765901883978,0.9958160498482647,0.9954765901883978,0.695346017534042,0.9994870360007462,0.695346017534042
superflux,broken_sustain,8,20.88533333333333,10,10,4,170.0,0.991922300221175,0.991922300221175,0.991922300221175,0.9913442761387026,0.991922300221175,0.7360483379812162,0.9980126294194954,0.7360483379812162
superflux,broken_sustain,9,19.562666666666665,10,10,7,164.2,0.9872682218234639,0.9872682218234639,0.9249252328462785,0.98219766728054,0.9249252328462785,0.7860377680936512,0.9941211655131161,0.7860377680936512
superflux,broken_sustain,10,18.784,10,10,7,162.0,0.9922136697313092,0.9038022949183949,0.9038022949183949,0.8738481998670085,0.9038022949183949,0.6943731736868364,0.9953139476872638,0.6943731736868364
superflux,broken_sustain,11,20.82133333333333,11,11,5,153.63636363636363,0.9658473895582329,0.9658473895582329,0.9658473895582329,0.938286824311704,0.9658473895582329,0.7512931726907631,0.9942168674698795,0.7512931726907631
