from,to,n,correct,missed,recall
E min,D maj,1,1,0,1.0
E min,D♯ maj,1,1,0,1.0
E min,F maj,1,1,0,1.0
F dim,A maj,1,1,0,1.0
F dim,A min,1,1,0,1.0
F dim,B maj,1,1,0,1.0
F dim,C♯ dim,1,1,0,1.0
F dim,C♯ min,1,1,0,1.0
F dim,D dim,1,1,0,1.0
F dim,D maj,1,1,0,1.0
F dim,D♯ maj,1,1,0,1.0
F dim,G dim,1,1,0,1.0
F dim,G♯ maj,1,1,0,1.0
F maj,A maj,1,1,0,1.0
F maj,A♯ dim,1,1,0,1.0
F maj,C♯ min,1,1,0,1.0
F maj,D maj,1,1,0,1.0
F maj,D♯ dim,1,1,0,1.0
F maj,F dim,1,1,0,1.0
F maj,F♯ maj,1,1,0,1.0
F maj,G♯ min,1,1,0,1.0
F min,A maj,1,1,0,1.0
F min,A min,1,1,0,1.0
F min,A♯ min,1,1,0,1.0
F min,C maj,1,1,0,1.0
F min,E dim,1,1,0,1.0
F min,F dim,1,1,0,1.0
F♯ dim,A dim,1,1,0,1.0
F♯ dim,B dim,1,1,0,1.0
F♯ dim,B min,1,1,0,1.0
F♯ dim,C dim,1,1,0,1.0
F♯ dim,C min,1,1,0,1.0
F♯ dim,C♯ maj,1,1,0,1.0
F♯ dim,D dim,1,1,0,1.0
F♯ dim,D♯ maj,1,1,0,1.0
F♯ dim,E min,1,1,0,1.0
F♯ dim,F♯ dim,1,1,0,1.0
F♯ dim,G♯ min,1,1,0,1.0
F♯ maj,A dim,1,1,0,1.0
F♯ maj,A maj,1,1,0,1.0
F♯ maj,A♯ dim,1,1,0,1.0
F♯ maj,C♯ maj,1,1,0,1.0
F♯ maj,D min,1,1,0,1.0
F♯ maj,D♯ maj,1,1,0,1.0
F♯ maj,F dim,1,1,0,1.0
F♯ maj,F maj,1,1,0,1.0
F♯ maj,F♯ min,1,1,0,1.0
F♯ maj,G dim,1,1,0,1.0
F♯ maj,G♯ min,1,1,0,1.0
F♯ min,B dim,1,1,0,1.0
F♯ min,B maj,1,1,0,1.0
F♯ min,C♯ dim,1,1,0,1.0
F♯ min,C♯ maj,1,1,0,1.0
F♯ min,C♯ min,1,1,0,1.0
F♯ min,D maj,1,1,0,1.0
F♯ min,F maj,1,1,0,1.0
F♯ min,F♯ maj,1,1,0,1.0
F♯ min,G min,1,1,0,1.0
G dim,A♯ dim,1,1,0,1.0
G dim,B maj,1,1,0,1.0
G dim,C♯ dim,1,1,0,1.0
G dim,D dim,1,1,0,1.0
G dim,F♯ dim,1,1,0,1.0
G dim,G maj,1,1,0,1.0
G dim,G♯ dim,1,1,0,1.0
G maj,A min,1,1,0,1.0
